"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-31","85","100","70"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-01","81","93","66"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-02","75","83","66"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-03","74","79","66"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-04","71","85","60"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-05","77","92","65"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-06","80","93","68"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-07","79","94","64"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-08","82","98","67"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-09","85","97","72"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-10","83","96","73"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-11","82","95","70"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-12","80","95","65"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-13","79","92","65"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-14","79","93","65"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-15","81","96","66"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-16","80","93","68"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-17","75","86","63"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-18","73","85","62"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-19","74","86","63"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-20","76","89","65"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-21","72","80","60"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-22","71","84","60"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-23","73","87","60"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-24","73","88","59"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-25","72","86","58"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-26","71","85","58"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-27","72","85","61"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-28","72","85","60"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-29","73","86","61"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-09-30","68","74","58"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-10-01","63","74","55"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-10-02","69","79","62"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-10-03","70","83","60"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-10-04","73","89","61"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-10-05","77","93","63"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-10-06","79","94","64"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-10-07","80","97","66"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-10-08","81","98","66"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-10-09","77","84","62"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-10-10","67","80","57"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-10-11","67","75","58"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-10-12","63","78","51"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-10-13","67","84","55"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-10-14","69","84","57"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-10-15","70","88","55"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-10-16","72","85","59"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-10-17","70","84","57"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-10-18","72","89","59"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-10-19","74","91","60"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-10-20","76","93","63"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-10-21","73","82","60"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-10-22","67","77","57"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-10-23","64","68","59"
